RK,PLAYER,AGE,EVENTS,ROUNDS,CUTS MADE,TOP 10,WINS,CUP POINTS,EARNINGS,YDS/DRIVE,DRIVING ACC.,DRVE TOTAL,GREENS IN REG.,PUTT AVG.,SAVE PCT.,EAGLES,BIRDIES,PARS,BOGEYS,BIRDIES/RD,HOLES/EAGLE
1,Justin Thomas,28,18,66,15,10,3,"2,570","$7,344,040.00",304.2,57.3,35,69.6,1.722,62.5,6,300,726,144,4.545,198
2,Jon Rahm,26,15,58,14,8,2,"3,080","$5,959,819.00",307.6,63.1,22,70.3,1.717,58.8,9,245,667,108,4.224,116
3,Dustin Johnson,36,14,49,11,7,3,"3,471","$5,837,267.00",311.0,59.1,10,69.3,1.704,54.2,14,213,529,110,4.347,63
4,Collin Morikawa,24,21,80,19,7,2,"2,025","$5,250,868.00",297.3,65.5,98,69.0,1.749,54.0,16,324,882,198,4.050,90
5,Webb Simpson,35,14,52,12,8,2,"2,163","$5,097,742.00",296.2,67.3,107,70.8,1.691,56.3,5,243,583,93,4.673,187
6,Bryson DeChambeau,27,17,62,14,9,1,"1,682","$4,998,495.00",322.1,57.4,1,68.5,1.726,62.9,7,274,690,132,4.419,159
7,Daniel Berger,28,17,64,15,7,1,"2,007","$4,439,420.00",300.2,63.9,71,66.9,1.728,59.8,5,280,715,139,4.375,230
8,Rory McIlroy,32,15,60,15,7,1,"1,516","$4,408,415.00",314.0,56.3,4,67.8,1.738,45.2,13,252,657,145,4.200,83
9,Sungjae Im,23,26,94,21,7,1,"1,650","$4,337,811.00",300.5,64.5,69,67.1,1.734,58.8,6,390,1052,221,4.149,282
10,Patrick Reed,30,20,74,17,8,1,"1,485","$4,250,060.00",296.0,56.1,110,65.3,1.700,60.6,8,313,821,168,4.230,167
11,Xander Schauffele,27,18,70,17,7,0,"1,449","$3,813,636.00",305.4,60.3,31,70.9,1.737,56.4,5,297,807,135,4.243,252
12,Hideki Matsuyama,29,20,74,17,5,0,"1,587","$3,665,825.00",304.4,57.0,34,68.5,1.755,55.0,12,299,836,168,4.041,111
13,Tyrrell Hatton,29,11,42,10,6,1,"1,275","$3,434,867.00",301.6,61.7,57,69.3,1.704,43.2,2,191,459,97,4.548,378
14,Brendon Todd,35,25,86,18,4,2,"1,576","$3,390,258.00",282.7,71.4,187,65.5,1.736,61.6,5,336,990,202,3.907,310
15,Harris English,31,20,76,18,6,0,"1,805","$3,299,366.00",300.9,61.7,66,70.9,1.749,51.3,6,306,894,150,4.026,228
16,Lanto Griffin,32,27,92,21,4,1,"1,392","$3,188,586.00",302.5,57.2,42,65.5,1.753,54.5,9,356,1040,229,3.870,184
17,Marc Leishman,37,18,61,13,3,1,"1,096","$3,109,752.00",295.8,51.9,112,61.5,1.770,42.1,5,207,672,193,3.393,220
18,Tony Finau,31,20,72,16,7,0,"1,237","$2,932,286.00",309.8,51.8,13,68.8,1.730,47.7,8,302,801,163,4.194,162
19,Joaquin Niemann,22,23,76,15,4,1,"1,366","$2,914,136.00",301.7,56.5,54,69.3,1.767,51.4,6,298,848,196,3.921,228
20,Abraham Ancer,30,20,74,17,4,0,"1,159","$2,903,306.00",297.5,64.4,94,67.0,1.743,49.2,6,281,866,163,3.797,222
21,Sebastian Munoz,28,26,84,16,5,1,"1,421","$2,864,142.00",302.3,60.4,43,66.3,1.748,50.0,8,340,943,190,4.048,189
22,Scottie Scheffler,24,23,82,18,7,0,"1,391","$2,833,438.00",308.9,61.2,16,69.0,1.737,49.0,11,357,893,194,4.354,134
23,Kevin Na,37,21,71,15,4,1,"1,102","$2,794,402.00",286.9,62.7,170,63.2,1.733,55.6,4,270,819,165,3.803,320
24,Ryan Palmer,44,19,68,15,5,0,"1,116","$2,724,926.00",299.3,60.1,80,65.9,1.742,50.0,7,271,750,179,3.985,175
25,Kevin Streelman,42,23,73,13,4,0,944,"$2,520,845.00",293.9,65.9,129,67.7,1.763,52.9,8,279,808,195,3.822,164
26,Billy Horschel,34,22,79,17,6,0,953,"$2,383,908.00",299.3,62.8,79,66.2,1.738,50.0,7,310,876,209,3.924,203
27,Cameron Smith,27,19,64,13,2,1,"1,059","$2,372,487.00",299.8,54.5,73,64.1,1.736,57.5,8,247,703,170,3.859,144
28,Cameron Champ,25,20,70,15,2,1,963,"$2,290,839.00",322.0,56.4,2,67.7,1.775,48.2,7,283,760,189,4.043,180
29,Byeong-Hun An,29,22,75,15,5,0,943,"$2,283,951.00",305.7,54.3,29,65.8,1.756,50.7,7,287,839,194,3.827,193
30,Adam Scott,40,10,38,9,1,1,832,"$2,272,434.00",308.1,55.5,19,68.1,1.740,55.1,7,144,437,86,3.789,98
31,Kevin Kisner,37,21,73,15,4,0,"1,169","$2,266,752.00",289.2,65.2,161,65.4,1.743,50.9,4,277,844,173,3.795,329
32,Matthew Wolff,22,21,74,16,2,0,921,"$2,224,348.00",311.6,59.0,9,66.8,1.772,43.5,6,286,824,191,3.865,222
33,Gary Woodland,37,17,62,14,6,0,801,"$2,195,131.00",305.4,60.0,30,68.2,1.753,47.6,6,252,698,139,4.065,186
34,Adam Long,33,25,88,18,3,0,950,"$2,186,913.00",292.0,62.5,142,67.7,1.756,45.2,12,333,999,218,3.784,132
35,Joel Dahmen,33,22,79,18,5,0,843,"$2,120,973.00",295.4,64.6,115,63.9,1.747,50.7,10,291,892,208,3.684,142
36,Patrick Cantlay,29,12,46,11,3,0,922,"$2,118,336.00",303.1,59.4,40,68.4,1.723,55.4,7,191,508,112,4.152,118
37,Matt Fitzpatrick,26,15,54,12,5,0,887,"$2,109,709.00",294.7,64.6,121,66.0,1.734,47.2,7,198,617,134,3.667,139
39,Mackenzie Hughes,30,22,70,12,4,0,980,"$2,079,951.00",298.7,55.8,83,63.4,1.735,54.4,5,260,797,172,3.714,252
40,Danny Lee,30,22,69,13,3,0,777,"$2,043,764.00",302.0,57.1,48,65.6,1.750,53.1,6,280,743,188,4.058,207
41,Viktor Hovland,23,20,74,17,3,1,"1,009","$1,982,275.00",299.3,63.2,77,68.5,1.726,45.5,14,294,820,179,3.973,95
42,Jason Day,33,17,53,10,5,0,666,"$1,943,898.00",299.7,55.9,74,64.8,1.746,65.5,5,199,609,126,3.755,191
43,Nick Taylor,33,18,59,11,2,1,741,"$1,897,539.00",296.6,64.2,101,66.9,1.757,46.3,10,210,673,153,3.559,106
44,Paul Casey,43,15,56,13,1,0,730,"$1,868,952.00",307.2,63.6,23,70.6,1.774,47.5,6,204,660,122,3.643,168
45,Tom Hoge,32,24,74,13,3,0,728,"$1,857,073.00",290.4,60.6,151,65.6,1.768,43.3,3,279,835,197,3.770,444
46,Mark Hubbard,32,24,86,19,3,0,792,"$1,840,473.00",290.1,62.8,155,66.7,1.734,47.3,13,322,988,198,3.744,119
47,Tyler Duncan,31,25,83,16,1,1,834,"$1,799,855.00",286.3,69.9,173,67.5,1.763,43.0,7,307,946,210,3.699,213
48,Brendan Steele,38,20,64,14,3,0,761,"$1,739,131.00",303.6,59.9,38,68.1,1.762,49.5,5,247,722,159,3.859,230
49,Richy Werenski,29,17,56,12,3,1,836,"$1,716,407.00",298.1,58.0,87,66.7,1.729,50.9,4,218,632,139,3.893,252
50,Adam Hadwin,33,17,65,15,3,0,692,"$1,710,808.00",294.0,64.5,128,68.3,1.755,65.0,9,237,746,160,3.646,130
51,Carlos Ortiz,30,22,72,14,3,0,721,"$1,631,474.00",300.3,55.4,70,66.7,1.760,48.7,12,267,828,170,3.708,108
52,Michael Thompson,36,20,62,10,2,1,662,"$1,577,832.00",288.4,65.4,165,65.0,1.772,57.1,4,213,727,151,3.435,279
53,Bubba Watson,42,20,66,13,3,0,768,"$1,565,323.00",311.0,57.9,11,67.7,1.766,45.4,9,242,753,171,3.667,132
