PLAYER,LAUNCH_ANGLE_ROUNDS,LAUNCH_ANGLE_AVG,TOTAL VERT. LAUNCH ANGLE,LAUNCH_ANGLE_TOTAL ATTEMPTS,LOWEST LAUNCH ANGLE,STEEPEST LAUNCH ANGLE
Graeme McDowell,48,9.07,"2,377.05",262,.56,15.34
Patrick Rodgers,95,9.04,"2,396.71",265,1.77,15.52
Xinjun Zhang,77,8.99,"1,995.33",222,3.51,15.94
Ryan Brehm,52,8.95,"1,574.50",176,5.47,13.15
Scott Stallings,71,8.92,"1,373.40",154,.48,15.19
Rob Oppenheim,65,8.91,"1,488.56",167,.46,13.83
Max Homa,70,8.91,"1,880.32",211,4.62,13.69
Talor Gooch,83,8.91,"1,943.01",218,2.43,14.58
Harris English,76,8.90,"2,306.24",259,5.23,12.25
Henrik Norlander,74,8.86,"1,550.46",175,.35,13.07
Sam Burns,60,8.85,"3,701.07",418,-.95,13.02
Russell Knox,67,8.84,"1,616.81",183,2.65,15.17
Daniel Berger,64,8.81,"3,921.52",445,-.29,14.40
Jhonattan Vegas,52,8.78,"1,886.98",215,3.97,12.79
Lucas Glover,67,8.77,"3,149.75",359,4.41,15.37
Andrew Putnam,46,8.70,930.42,107,3.16,13.19
Mark Hubbard,86,8.69,"4,111.23",473,2.01,12.94
Sam Ryder,74,8.65,"1,755.15",203,4.72,13.81
Stewart Cink,51,8.62,"1,568.29",182,4.64,11.77
Bubba Watson,66,8.61,"4,272.99",496,1.00,18.79
Maverick McNealy,80,8.61,"2,996.78",348,-25.01,15.32
Robert Streb,54,8.57,"1,645.78",192,3.12,13.12
Matt Jones,76,8.55,"4,446.19",520,2.57,13.72
Charles Howell III,69,8.44,"3,037.16",360,3.17,14.63
Seamus Power,36,8.36,752.28,90,2.52,12.10
Vincent Whaley,40,8.36,"1,253.63",150,2.69,12.53
Brandon Hagy,50,8.32,"1,073.70",129,3.88,12.77
Ben Martin,38,8.28,977.63,118,4.45,11.57
Michael Gligic,52,8.28,"1,151.55",139,4.01,13.57
Scott Harrington,68,8.26,"1,404.64",170,3.96,11.55
Joaquin Niemann,76,8.24,"1,697.83",206,-1.94,14.67
Branden Grace,43,8.18,"2,414.31",295,-2.73,15.32
Kevin Tway,52,8.16,"1,721.25",211,-.73,12.56
Grayson Murray,36,8.00,"1,648.68",206,2.98,13.18
Aaron Baddeley,49,7.90,"1,295.25",164,3.39,13.31
Nick Watney,46,7.89,"1,033.90",131,2.18,12.24
Patrick Reed,74,7.78,"1,889.88",243,1.69,15.99
Lanto Griffin,96,7.51,"2,417.60",322,-.03,15.06
Michael Gellerman,46,7.47,702.06,94,2.90,12.31
Adam Schenk,78,7.05,"1,338.97",190,2.06,11.59
Will Gordon,36,7.05,507.50,72,2.20,11.41
Cameron Champ,70,5.98,"1,243.42",208,-1.56,10.61
Peter Uihlein,47,5.96,988.86,166,-1.31,11.58
