RK,PLAYER,AGE,EVENTS,ROUNDS,CUTS MADE,TOP 10,WINS,CUP POINTS,EARNINGS,YDS/DRIVE,DRIVING ACC.,DRVE TOTAL,GREENS IN REG.,PUTT AVG.,SAVE PCT.,EAGLES,BIRDIES,PARS,BOGEYS,BIRDIES/RD,HOLES/EAGLE,BALL_SPEED_ROUNDS,BALL_SPEED_AVG,TOTAL BALL SPEED,BALL_SPEED_TOTAL ATTEMPTS,BALL_SPEED_FASTEST SPEED,BALL_SPEED_SLOWEST SPEED,DRIVING_DISTANCE_ROUNDS,DRIVING_DISTANCE_AVG,TOTAL DISTANCE,TOTAL DRIVES,SPIN_RATE_ROUNDS,SPIN_RATE_AVG,TOTAL SPIN SPEED,SPIN_RATE_TOTAL ATTEMPTS,HIGHEST SPIN RATE,LOWEST SPIN RATE,CLUB_HEAD_SPEED_ROUNDS,CLUB_HEAD_SPEED_AVG,TOTAL CLUB HEAD SPEED,CLUB_HEAD_SPEED_TOTAL ATTEMPTS,CLUB_HEAD_SPEED_FASTEST SPEED,CLUB_HEAD_SPEED_SLOWEST SPEED,CARRY_DISTANCE_ROUNDS,CARRY_DISTANCE_AVG,TOTAL DIST. TO IMPACT,CARRY_DISTANCE_TOTAL ATTEMPTS,LONGEST CARRY DISTANCE,SHORTEST CARRY DISTANCE,LAUNCH_ANGLE_ROUNDS,LAUNCH_ANGLE_AVG,TOTAL VERT. LAUNCH ANGLE,LAUNCH_ANGLE_TOTAL ATTEMPTS,LOWEST LAUNCH ANGLE,STEEPEST LAUNCH ANGLE,PUTTING FROM INSIDE INSIDE 5'_ROUNDS,PUTTING FROM INSIDE INSIDE 5'_%,PUTTING FROM INSIDE INSIDE 5'_ATTEMPTS,PUTTING FROM INSIDE INSIDE 5'_PUTTS_MADE,PUTTING FROM 5-10'_ROUNDS,PUTTING FROM 5-10'_%,PUTTING FROM 5-10'_ATTEMPTS,PUTTING FROM 5-10'_PUTTS_MADE,PUTTING FROM - 10-15'_ROUNDS,PUTTING FROM - 10-15'_% MADE,PUTTING FROM - 10-15'_ATTEMPTS,PUTTING FROM - 10-15'_PUTTS_MADE,PUTTING FROM - 15-20'_ROUNDS,PUTTING FROM - 15-20'_% MADE,PUTTING FROM - 15-20'_ATTEMPTS,PUTTING FROM - 15-20'_PUTTS_MADE,PUTTING FROM - 20-25'_ROUNDS,PUTTING FROM - 20-25'_% MADE,PUTTING FROM - 20-25'_ATTEMPTS,PUTTING FROM - 20-25'_PUTTS_MADE
166,Aaron Baddeley,40,0,47,7,0,0,153,286504.0,284.9,59.5,178,64.9,1.738,56.3,3,186,526,116,3.957,282,49,166.74,27344.92,164,172.50,160.44,49,284.9,26784,94,49,2929.4,454056,155,3800,1586,49,111.37,17819.66,160,114.96,470883418,49,268.8,44085.4,164,298.1,239.4,49,7.90,1295.25,164,3.39,13.31,49,96.24,532,512,49,59.87,152,91,49,32.61,92,30,49,19.05,84,16,49,7.50,40,3
169,Mark Anderson,35,0,47,9,0,0,154,278630.0,293.1,59.5,137,66.8,1.809,54.9,6,143,577,111,3.043,141,51,165.78,17904.27,108,171.16,157.56,51,293.1,27549,94,51,2566.4,254069,99,3322,1757,51,110.11,11341.75,103,114.76,030552213,51,274.6,29387.1,107,300.3,233.3,51,11.55,1247.39,108,8.07,14.84,51,97.53,527,514,51,53.94,165,89,51,32.99,97,32,51,19.12,68,13,51,10.17,59,6
171,Dominic Bozzelli,30,13,36,5,1,0,112,272865.0,299.0,51.7,81,63.0,1.708,43.5,2,151,368,107,4.194,324,38,168.60,24784.63,147,173.40,155.23,38,299.0,21531,72,38,2653.7,352945,133,3988,1510,38,113.49,7376.79,65,136.84,415876214,38,276.1,40583.6,147,306.7,236.7,38,11.08,1629.22,147,7.27,15.31,38,95.93,344,330,38,57.61,92,53,38,38.71,62,24,38,28.95,38,11,38,14.58,48,7
172,Ben Martin,33,0,36,6,0,0,142,270879.0,283.6,64.4,185,67.1,1.768,48.2,1,132,427,78,3.667,648,38,167.62,19778.75,118,171.95,160.14,38,283.6,20422,72,38,2918.6,332723,114,3953,2150,38,112.43,7982.37,71,116.25,490752205,38,271.4,32024.2,118,306.9,226.2,38,8.28,977.63,118,4.45,11.57,38,97.16,317,308,38,58.16,98,57,38,22.81,57,13,38,13.04,46,6,38,9.09,33,3
174,Wes Roach,32,14,40,7,2,0,123,267966.0,290.5,62.6,150,67.9,1.771,39.0,8,149,442,106,3.725,90,42,165.49,22341.65,135,173.10,150.08,42,290.5,23236,80,42,2544.0,312916,123,3482,1509,42,111.05,7662.26,69,118.72,050729104,42,272.4,36778.4,135,310.6,234.6,42,12.10,1633.37,135,7.24,16.70,42,96.65,328,317,42,46.07,89,41,42,22.41,58,13,42,13.64,44,6,42,10.53,38,4
175,Kevin Tway,32,0,48,7,0,0,110,256320.0,303.8,49.9,36,62.6,1.787,39.2,2,158,536,157,3.292,432,52,181.06,38203.76,211,187.78,170.26,52,303.8,21873,72,52,2703.6,486649,180,3744,1950,52,121.20,14059.03,116,127.11,240009116,52,289.2,61021.1,211,334.4,48.2,52,8.16,1721.25,211,-.73,12.56,52,96.40,528,509,52,53.85,143,77,52,25.64,78,20,52,15.79,57,9,52,7.41,54,4
176,Kramer Hickok,29,0,49,7,0,0,131,253646.0,292.8,67.2,139,66.2,1.825,49.2,3,156,586,125,3.184,294,51,167.15,35268.11,211,174.41,158.02,51,292.8,28692,98,51,2463.3,460645,187,3773,1507,51,112.04,14005.03,125,115.81,415876112,51,272.8,57556.1,211,307.3,235.0,51,11.19,2360.56,211,6.54,14.88,51,95.58,543,519,51,53.57,140,75,51,21.88,96,21,51,20.31,64,13,51,10.26,39,4
177,Roger Sloan,34,0,51,7,0,0,131,253597.0,291.5,58.3,145,65.6,1.779,54.4,7,174,588,133,3.412,131,55,170.37,52815.98,310,176.99,163.60,55,291.5,29738,102,55,2920.1,864351,296,3983,1727,55,113.29,13255.25,117,134.77,040538113,55,283.2,87791.5,310,322.6,250.1,55,10.62,3292.31,310,6.04,15.56,55,97.39,536,522,55,56.02,166,93,55,21.30,108,23,55,23.44,64,15,55,13.11,61,8
178,Chris Stroud,39,0,46,6,0,0,120,249013.0,287.0,59.4,167,64.6,1.738,53.3,2,176,510,127,3.826,414,48,164.67,50883.15,309,171.40,155.67,48,287.0,26407,92,48,2669.7,750195,281,3756,1577,48,109.61,15674.71,143,122.18,415876312,48,271.5,83899.6,309,305.7,229.9,48,10.89,3364.35,309,5.32,15.09,48,97.12,520,505,48,52.08,144,75,48,30.93,97,30,48,26.56,64,17,48,7.02,57,4
179,Grayson Murray,27,14,36,5,1,0,100,244150.0,313.8,54.2,5,63.9,1.758,43.5,5,143,375,104,3.972,130,36,180.02,37084.39,206,185.52,147.99,36,313.8,22591,72,36,2374.6,396552,167,3930,1547,36,121.50,12635.97,104,126.85,230734118,36,297.6,61306.9,206,1147.4,49.4,36,8.00,1648.68,206,2.98,13.18,36,94.88,469,445,36,44.62,130,58,36,28.17,71,20,36,21.43,56,12,36,7.69,52,4
180,Jimmy Walker,43,0,46,6,0,0,112,243370.0,298.0,46.8,89,62.2,1.765,37.1,4,159,491,148,3.457,207,46,173.08,48288.08,279,180.19,154.40,46,298.0,27418,92,46,2244.0,491437,219,3751,1511,46,114.87,13669.88,119,118.64,240009112,46,286.5,79929.3,279,328.0,231.9,46,12.38,3454.16,279,3.55,16.42,46,95.86,604,579,46,53.85,169,91,46,23.53,119,28,46,17.78,90,16,46,12.24,49,6
183,Martin Laird,38,12,39,7,1,0,106,232786.0,302.1,63.7,46,70.5,1.806,32.2,8,140,446,98,3.590,88,39,171.35,17477.59,102,177.19,164.98,39,302.1,23562,78,39,2474.3,220211,89,3675,1631,39,114.32,11089.31,97,120.67,170004304,39,282.6,28829.6,102,309.8,256.3,39,9.95,1014.46,102,5.82,12.66,39,95.37,432,412,39,47.24,127,60,39,27.69,65,18,39,19.64,56,11,39,10.42,48,5
184,J.J. Spaun,30,0,58,10,0,0,102,232472.0,297.4,57.8,95,66.0,1.758,45.8,4,221,619,175,3.810,261,62,167.83,27187.99,162,173.51,163.12,62,297.4,34498,116,62,2394.6,359188,150,3332,1570,62,111.81,17665.26,158,116.95,110776209,62,283.4,45918.4,162,304.7,256.1,62,12.56,2034.93,162,8.05,16.98,62,95.70,697,667,62,49.01,202,99,62,33.82,136,46,62,27.66,94,26,62,9.88,81,8
185,Jim Furyk,51,0,39,6,0,0,108,224450.0,280.2,74.5,192,74.2,1.793,45.5,3,135,461,93,3.462,234,39,157.99,43762.61,277,163.77,150.98,39,280.2,21854,78,39,2430.2,609978,251,3356,1521,39,105.24,13366.11,127,109.58,110776315,39,253.8,70311.0,277,285.9,34.6,39,10.11,2800.57,277,5.13,14.82,39,97.15,527,512,39,47.97,123,59,39,28.00,100,28,39,22.50,80,18,39,12.16,74,9
189,Matt Every,37,0,45,6,0,0,94,202546.0,292.3,58.0,140,65.1,1.769,39.5,3,178,456,143,3.956,270,47,167.72,23145.72,138,174.29,158.42,47,292.3,26309,90,47,2503.8,325500,130,3710,1749,47,111.79,14756.39,132,118.07,050729213,47,281.9,38897.9,138,737.4,239.5,47,11.01,1519.74,138,7.06,14.29,47,94.64,597,565,47,55.98,184,103,47,20.16,124,25,47,17.86,84,15,47,16.90,71,12
197,Kevin Chappell,35,0,41,7,0,0,75,176506.0,300.6,56.5,67,65.2,1.748,47.6,5,158,447,110,3.854,148,41,173.11,23369.42,135,181.19,166.14,41,300.6,24649,82,41,2441.8,293010,120,3851,1692,41,116.37,15244.46,131,121.13,030552409,41,285.0,38471.4,135,317.0,244.8,41,12.33,1664.10,135,7.01,15.97,41,95.51,445,425,41,59.68,124,74,41,33.01,103,34,41,27.40,73,20,41,11.11,54,6
