PLAYER,APEX_HEIGHT_ROUNDS,APEX_HEIGHT_AVG,TOTAL APEX HEIGHT,APEX_HEIGHT_TOTAL ATTEMPTS,HIGHEST APEX POINT,LOWEST APEX POINT
Matt Fitzpatrick,54,"92' 1""","8399' 4""",417,"172' 7""",0000000085
Abraham Ancer,74,"91' 10""","3448' 7""",473,"155' 0""",0000000105
Chase Seiffert,56,"91' 9""","1471' 0""",234,"126' 11""",0000000616
Kevin Tway,52,"91' 9""","9356' 9""",211,"148' 9""",0000000320
Brendon Todd,86,"91' 6""","4369' 9""",485,"140' 0""",0000000121
C.T. Pan,56,"91' 5""","6662' 4""",401,"133' 2""",0000000386
Adam Schenk,78,"91' 1""","7305' 4""",190,"130' 9""",0000000381
Grayson Murray,36,"90' 11""",8722',206,"146' 11""",0000000566
Henrik Norlander,74,"90' 9""","5876' 8""",175,"146' 5""",0000000188
Rafa Cabrera Bello,53,"90' 8""","1810' 7""",351,"128' 10""",0000000526
Brian Stuard,83,"90' 4""","4985' 9""",498,"133' 0""",0000000571
Si Woo Kim,78,"90' 0""","1605' 4""",240,"165' 8""",0000000207
Scott Stallings,71,"89' 11""",3851',154,"136' 2""",0000000442
Russell Knox,67,"89' 3""","6325' 8""",183,"151' 0""",0000000492
Ben Martin,38,"88' 7""","453' 10""",118,"117' 7""",0000000652
Michael Gellerman,46,"88' 3""",8294',94,"119' 8""",0000000606
Lanto Griffin,96,"88' 2""","8400' 4""",322,"158' 1""",0000000029
Daniel Berger,64,"88' 1""","9200' 8""",445,"138' 0""",0000000391
Aaron Baddeley,49,"88' 0""",4430',164,"131' 3""",0000000568
Charles Howell III,69,"87' 10""","1612' 2""",360,"131' 0""",0000000441
Jason Dufner,62,"87' 10""","918' 0""",466,"140' 0""",0000000428
Peter Uihlein,47,"87' 7""","4540' 6""",166,"140' 9""",0000000314
Bo Hoag,71,"86' 9""","4366' 5""",281,"138' 8""",0000000470
Andrew Putnam,46,"86' 7""","9260' 5""",107,"137' 6""",0000000554
Graeme McDowell,48,"86' 5""","2639' 8""",262,"129' 11""",0000000427
Mark Hubbard,86,"86' 0""","665' 8""",473,"129' 9""",0000000347
Joaquin Niemann,76,"86' 0""","7716' 6""",206,"143' 0""",0000000279
Kyle Stanley,57,"85' 9""","4233' 3""",166,"123' 11""",0000000373
Ian Poulter,48,"84' 5""","3504' 5""",160,"111' 1""",0000000653
Jim Herman,60,"84' 0""","3776' 0""",283,"140' 1""",0000000250
Patrick Reed,74,"83' 11""","397' 11""",243,"147' 10""",0000000543
Maverick McNealy,80,"83' 9""","9137' 3""",348,"151' 3""",0000000066
Lucas Glover,67,"82' 8""","9677' 4""",359,"139' 2""",0000000367
Branden Grace,43,"82' 2""",4246',295,"142' 2""",0000000072
Ryan Armour,60,"79' 3""","9871' 7""",377,"123' 7""",0000000398
Jim Furyk,39,"79' 3""","1953' 3""",277,"119' 2""",0000000438
Ryan Moore,48,"78' 8""","1246' 1""",143,"109' 4""",0000000510
Seamus Power,36,"78' 8""","7077' 7""",90,"111' 1""",0000000497
Rob Oppenheim,65,"78' 2""","3050' 4""",167,"118' 10""",0000000333
